Data,Descrizione,Conto,Entrate,Uscite
2026-02-03,PRODUCTA SRL,40000,4559,
2026-02-03,PLASTIKNOVA SRL,40000,16655,
2026-02-03,PRODUCTA SRL,40000,1421,
2026-02-03,RABEN ITALY SRL,40000,15091,
2026-02-03,PLASTIKNOVA SRL,40000,13478,
2026-02-03,POSA SPA A SOCIO UNICO,40000,4160,
2026-02-03,PRODUCTA SRL,40000,17870,
2026-02-03,PRODUCTA SRL,40000,10679,
2026-02-03,OMIS SERVICE SRL,40000,13337,
2026-02-03,PRODUCTA SRL,40000,131,
2026-02-03,PLASTIKNOVA SRL,40000,15788,
2026-02-03,PLASTIKNOVA SRL,40000,17299,
2026-02-03,PRODUCTA SRL,40000,4473,
2026-02-03,PRODUCTA SRL,40000,2651,
2026-02-03,OMIS SERVICE SRL,40000,6428,
2026-02-03,PRODUCTA SRL,40000,7582,
2026-02-03,OMIS SERVICE SRL,40000,3329,
2026-02-03,OMIS SERVICE SRL,40000,6427,
2026-02-03,ONLY JOB SRL,40000,9341,
2026-02-03,OMIS SERVICE SRL,40000,1528,
2026-02-03,ONLY JOB SRL,40000,18551,
2026-02-03,PRODUCTA SRL,40000,17028,
2026-02-03,OMIS SERVICE SRL,40000,17252,
2026-02-03,POSA SPA A SOCIO UNICO,40000,1401,
2026-02-03,ONLY JOB SRL,40000,517,
2026-02-03,ONLY JOB SRL,40000,10628,
2026-02-03,PLASTIKNOVA SRL,40000,1696,
2026-02-03,RABEN ITALY SRL,40000,4498,
2026-02-03,ONLY JOB SRL,40000,17893,
2026-02-03,ONLY JOB SRL,40000,13263,
2026-02-03,POSA SPA A SOCIO UNICO,40000,7805,
2026-02-03,PRODUCTA SRL,40000,15197,
2026-02-03,POSA SPA A SOCIO UNICO,40000,747,
2026-02-03,RABEN ITALY SRL,40000,768,
2026-02-03,PRODUCTA SRL,40000,602,
2026-02-03,ONLY JOB SRL,40000,12431,
2026-02-03,POSA SPA A SOCIO UNICO,40000,17856,
2026-02-03,OMIS SERVICE SRL,40000,3127,
2026-02-03,PRODUCTA SRL,40000,19462,
2026-02-03,RABEN ITALY SRL,40000,11085,
2026-02-03,OMIS SERVICE SRL,40000,6587,
2026-02-03,POSA SPA A SOCIO UNICO,40000,12207,
2026-02-03,ONLY JOB SRL,40000,16447,
2026-02-03,ONLY JOB SRL,40000,1569,
2026-02-03,ONLY JOB SRL,40000,14282,
2026-02-03,OMIS SERVICE SRL,40000,13002,
2026-02-03,RABEN ITALY SRL,40000,17015,
2026-02-03,POSA SPA A SOCIO UNICO,40000,1297,
2026-02-03,PRODUCTA SRL,40000,16359,
2026-02-03,POSA SPA A SOCIO UNICO,40000,17135,
2026-02-03,POSA SPA A SOCIO UNICO,40000,11396,
2026-02-03,PLASTIKNOVA SRL,40000,13119,
2026-02-03,ONLY JOB SRL,40000,9763,
2026-02-03,PRODUCTA SRL,40000,16169,
2026-02-03,ONLY JOB SRL,40000,6177,
2026-02-03,POSA SPA A SOCIO UNICO,40000,508,
2026-02-03,OMIS SERVICE SRL,40000,9234,
2026-02-03,OMIS SERVICE SRL,40000,7351,
2026-02-03,OMIS SERVICE SRL,40000,13066,
2026-02-03,PRODUCTA SRL,40000,11780,
2026-02-03,ONLY JOB SRL,40000,9436,
2026-02-03,ONLY JOB SRL,40000,14002,
2026-02-03,PLASTIKNOVA SRL,40000,10630,
2026-02-03,ONLY JOB SRL,40000,1246,
2026-02-03,PRODUCTA SRL,40000,9039,
2026-02-03,ONLY JOB SRL,40000,4890,
2026-02-03,ONLY JOB SRL,40000,15583,
2026-02-03,PRODUCTA SRL,40000,7850,
2026-02-03,RABEN ITALY SRL,40000,2623,
2026-02-03,RABEN ITALY SRL,40000,13684,
2026-02-03,PLASTIKNOVA SRL,40000,19427,
2026-02-03,PLASTIKNOVA SRL,40000,9892,
2026-02-03,RABEN ITALY SRL,40000,16599,
2026-02-03,RABEN ITALY SRL,40000,15236,
2026-02-03,RABEN ITALY SRL,40000,11617,
2026-02-03,RABEN ITALY SRL,40000,1494,
2026-02-03,RABEN ITALY SRL,40000,19719,
2026-02-03,POSA SPA A SOCIO UNICO,40000,4839,
2026-02-03,PRODUCTA SRL,40000,12683,
2026-02-03,POSA SPA A SOCIO UNICO,40000,19492,
2026-02-03,POSA SPA A SOCIO UNICO,40000,1824,
2026-02-03,ONLY JOB SRL,40000,17543,
2026-02-03,POSA SPA A SOCIO UNICO,40000,15388,
2026-02-03,OMIS SERVICE SRL,40000,363,
2026-02-03,OMIS SERVICE SRL,40000,19564,
2026-02-03,ONLY JOB SRL,40000,11676,
2026-02-03,PRODUCTA SRL,40000,5328,
2026-02-03,OMIS SERVICE SRL,40000,12111,
2026-02-03,POSA SPA A SOCIO UNICO,40000,7172,
2026-02-03,PLASTIKNOVA SRL,40000,17171,
2026-02-03,RABEN ITALY SRL,40000,828,
2026-02-03,OMIS SERVICE SRL,40000,18205,
2026-02-03,RABEN ITALY SRL,40000,2860,
2026-02-03,PRODUCTA SRL,40000,7352,
2026-02-03,ONLY JOB SRL,40000,14084,
2026-02-03,POSA SPA A SOCIO UNICO,40000,6981,
2026-02-03,PLASTIKNOVA SRL,40000,4867,
2026-02-03,ONLY JOB SRL,40000,10767,
2026-02-03,PLASTIKNOVA SRL,40000,17701,
2026-02-03,PLASTIKNOVA SRL,40000,17569,
2026-02-03,POSA SPA A SOCIO UNICO,40000,18530,
2026-02-03,ONLY JOB SRL,40000,15420,
2026-02-03,POSA SPA A SOCIO UNICO,40000,1360,
2026-02-03,PRODUCTA SRL,40000,5649,
2026-02-03,RABEN ITALY SRL,40000,812,
2026-02-03,ONLY JOB SRL,40000,5648,
2026-02-03,POSA SPA A SOCIO UNICO,40000,18933,
2026-02-03,RABEN ITALY SRL,40000,4956,
2026-02-03,ONLY JOB SRL,40000,3802,
2026-02-03,PRODUCTA SRL,40000,7081,
2026-02-03,PLASTIKNOVA SRL,40000,19002,
2026-02-03,ONLY JOB SRL,40000,1206,
2026-02-03,PRODUCTA SRL,40000,9418,
2026-02-03,POSA SPA A SOCIO UNICO,40000,10104,
2026-02-03,PLASTIKNOVA SRL,40000,17965,
2026-02-03,PRODUCTA SRL,40000,14127,
2026-02-03,ONLY JOB SRL,40000,7501,
2026-02-03,OMIS SERVICE SRL,40000,7209,
2026-02-03,RABEN ITALY SRL,40000,8580,
2026-02-03,OMIS SERVICE SRL,40000,2200,
2026-02-03,PRODUCTA SRL,40000,7375,
2026-02-03,OMIS SERVICE SRL,40000,5856,
2026-02-03,PRODUCTA SRL,40000,18112,
2026-02-03,ONLY JOB SRL,40000,1972,
2026-02-03,PRODUCTA SRL,40000,15957,
2026-02-03,PLASTIKNOVA SRL,40000,1258,
2026-02-03,RABEN ITALY SRL,40000,1294,
2026-02-03,POSA SPA A SOCIO UNICO,40000,6927,
2026-02-03,ONLY JOB SRL,40000,836,
2026-02-03,RABEN ITALY SRL,40000,16647,
2026-02-03,ONLY JOB SRL,40000,3964,
2026-02-03,POSA SPA A SOCIO UNICO,40000,12603,
2026-02-03,POSA SPA A SOCIO UNICO,40000,14653,
2026-02-03,ONLY JOB SRL,40000,9356,
2026-02-03,ONLY JOB SRL,40000,9362,
2026-02-03,POSA SPA A SOCIO UNICO,40000,2496,
2026-02-03,OMIS SERVICE SRL,40000,15705,
2026-02-03,OMIS SERVICE SRL,40000,16242,
2026-02-03,POSA SPA A SOCIO UNICO,40000,11898,
2026-02-03,OMIS SERVICE SRL,40000,18126,
2026-02-03,RABEN ITALY SRL,40000,12097,
2026-02-03,POSA SPA A SOCIO UNICO,40000,5043,
2026-02-03,OMIS SERVICE SRL,40000,3005,
2026-02-03,OMIS SERVICE SRL,40000,15328,
2026-02-03,PLASTIKNOVA SRL,40000,15224,
2026-02-03,PRODUCTA SRL,40000,8584,
2026-02-03,POSA SPA A SOCIO UNICO,40000,6774,
2026-02-03,RABEN ITALY SRL,40000,2734,
2026-02-03,POSA SPA A SOCIO UNICO,40000,18739,
2026-02-03,PLASTIKNOVA SRL,40000,15825,
2026-02-03,OMIS SERVICE SRL,40000,8604,
2026-02-03,ONLY JOB SRL,40000,4326,
2026-02-03,ONLY JOB SRL,40000,13553,
2026-02-03,RABEN ITALY SRL,40000,15620,
2026-02-03,ONLY JOB SRL,40000,5395,
2026-02-03,ONLY JOB SRL,40000,641,
2026-02-03,OMIS SERVICE SRL,40000,9419,
2026-02-03,ONLY JOB SRL,40000,12097,
2026-02-03,ONLY JOB SRL,40000,13148,
2026-02-03,PRODUCTA SRL,40000,1992,
2026-02-03,PRODUCTA SRL,40000,3582,
2026-02-03,POSA SPA A SOCIO UNICO,40000,18573,
2026-02-03,PLASTIKNOVA SRL,40000,14437,
2026-02-03,ONLY JOB SRL,40000,6772,
2026-02-03,RABEN ITALY SRL,40000,15964,
2026-02-03,PRODUCTA SRL,40000,16970,
2026-02-03,OMIS SERVICE SRL,40000,19315,
2026-02-03,PRODUCTA SRL,40000,5370,
2026-02-03,PRODUCTA SRL,40000,5503,
2026-02-03,PRODUCTA SRL,40000,15223,
2026-02-03,POSA SPA A SOCIO UNICO,40000,3923,
2026-02-03,PRODUCTA SRL,40000,6756,
2026-02-03,PLASTIKNOVA SRL,40000,18982,
2026-02-03,POSA SPA A SOCIO UNICO,40000,18194,
2026-02-03,ONLY JOB SRL,40000,17609,
2026-02-03,ONLY JOB SRL,40000,587,
2026-02-03,ONLY JOB SRL,40000,7243,
2026-02-03,PRODUCTA SRL,40000,9492,
2026-02-03,PLASTIKNOVA SRL,40000,11418,
2026-02-03,OMIS SERVICE SRL,40000,19189,
2026-02-03,ONLY JOB SRL,40000,9737,
2026-02-03,PLASTIKNOVA SRL,40000,14676,
2026-02-03,PLASTIKNOVA SRL,40000,6373,
2026-02-03,PLASTIKNOVA SRL,40000,2546,
2026-02-03,PRODUCTA SRL,40000,13140,
2026-02-03,OMIS SERVICE SRL,40000,12567,
2026-02-03,PLASTIKNOVA SRL,40000,1238,
2026-02-03,POSA SPA A SOCIO UNICO,40000,16693,
2026-02-03,OMIS SERVICE SRL,40000,11546,
2026-02-03,PLASTIKNOVA SRL,40000,18621,
2026-02-03,PLASTIKNOVA SRL,40000,11635,
2026-02-03,ONLY JOB SRL,40000,14975,
2026-02-03,OMIS SERVICE SRL,40000,6677,
2026-02-03,POSA SPA A SOCIO UNICO,40000,1832,
2026-02-03,PLASTIKNOVA SRL,40000,7659,
2026-02-03,POSA SPA A SOCIO UNICO,40000,7008,
2026-02-03,PRODUCTA SRL,40000,12551,
2026-02-03,POSA SPA A SOCIO UNICO,40000,13987,
2026-02-03,POSA SPA A SOCIO UNICO,40000,19797,
2026-02-03,ONLY JOB SRL,40000,9528,
2026-02-03,PRODUCTA SRL,40000,9491,
2026-02-03,PLASTIKNOVA SRL,40000,16523,
2026-02-03,POSA SPA A SOCIO UNICO,40000,4457,
2026-02-03,POSA SPA A SOCIO UNICO,40000,19867,
2026-02-03,PRODUCTA SRL,40000,6927,
2026-02-03,OMIS SERVICE SRL,40000,16456,
2026-02-03,ONLY JOB SRL,40000,13384,
2026-02-03,ONLY JOB SRL,40000,12637,
2026-02-03,RABEN ITALY SRL,40000,2863,
2026-02-03,POSA SPA A SOCIO UNICO,40000,10672,
2026-02-03,RABEN ITALY SRL,40000,15926,
2026-02-03,RABEN ITALY SRL,40000,10501,
2026-02-03,PLASTIKNOVA SRL,40000,3594,
2026-02-03,OMIS SERVICE SRL,40000,10507,
2026-02-03,PRODUCTA SRL,40000,2875,
2026-02-03,PRODUCTA SRL,40000,10648,
2026-02-03,PRODUCTA SRL,40000,6865,
2026-02-03,PLASTIKNOVA SRL,40000,3880,
2026-02-03,RABEN ITALY SRL,40000,14354,
2026-02-03,ONLY JOB SRL,40000,5644,
2026-02-03,ONLY JOB SRL,40000,6644,
2026-02-03,PLASTIKNOVA SRL,40000,2752,
2026-02-03,POSA SPA A SOCIO UNICO,40000,12662,
2026-02-03,ONLY JOB SRL,40000,18898,
2026-02-03,OMIS SERVICE SRL,40000,10265,
2026-02-03,POSA SPA A SOCIO UNICO,40000,18547,
2026-02-03,RABEN ITALY SRL,40000,7377,
2026-02-03,POSA SPA A SOCIO UNICO,40000,15926,
2026-02-03,ONLY JOB SRL,40000,4404,
2026-02-03,POSA SPA A SOCIO UNICO,40000,4546,
2026-02-03,RABEN ITALY SRL,40000,7661,
2026-02-03,PRODUCTA SRL,40000,8798,
2026-02-03,PLASTIKNOVA SRL,40000,7710,
2026-02-03,ONLY JOB SRL,40000,14968,
2026-02-03,OMIS SERVICE SRL,40000,3668,
2026-02-03,OMIS SERVICE SRL,40000,1468,
2026-02-03,RABEN ITALY SRL,40000,5525,
2026-02-03,RABEN ITALY SRL,40000,12406,
2026-02-03,PRODUCTA SRL,40000,12648,
2026-02-03,PRODUCTA SRL,40000,10731,
2026-02-03,ONLY JOB SRL,40000,277,
2026-02-03,PRODUCTA SRL,40000,6751,
2026-02-03,ONLY JOB SRL,40000,16699,
2026-02-03,RABEN ITALY SRL,40000,11909,
2026-02-03,ONLY JOB SRL,40000,9562,
2026-02-03,POSA SPA A SOCIO UNICO,40000,14821,
2026-02-03,PRODUCTA SRL,40000,12715,
2026-02-03,POSA SPA A SOCIO UNICO,40000,16011,
2026-02-03,OMIS SERVICE SRL,40000,19041,
2026-02-03,POSA SPA A SOCIO UNICO,40000,4789,
2026-02-03,ONLY JOB SRL,40000,9470,
2026-02-03,RABEN ITALY SRL,40000,5627,
2026-02-03,PRODUCTA SRL,40000,17057,
2026-02-03,POSA SPA A SOCIO UNICO,40000,5536,
2026-02-03,POSA SPA A SOCIO UNICO,40000,12358,
2026-02-03,OMIS SERVICE SRL,40000,15001,
2026-02-03,PLASTIKNOVA SRL,40000,9321,
2026-02-03,POSA SPA A SOCIO UNICO,40000,17037,
2026-02-03,POSA SPA A SOCIO UNICO,40000,18023,
2026-02-03,PLASTIKNOVA SRL,40000,7675,
2026-02-03,ONLY JOB SRL,40000,9502,
2026-02-03,ONLY JOB SRL,40000,7908,
2026-02-03,ONLY JOB SRL,40000,17035,
2026-02-03,ONLY JOB SRL,40000,15827,
2026-02-03,ONLY JOB SRL,40000,10107,
2026-02-03,PLASTIKNOVA SRL,40000,13356,
2026-02-03,PLASTIKNOVA SRL,40000,7991,
2026-02-03,OMIS SERVICE SRL,40000,11850,
2026-02-03,RABEN ITALY SRL,40000,19770,
2026-02-03,RABEN ITALY SRL,40000,3363,
2026-02-03,ONLY JOB SRL,40000,16460,
2026-02-03,OMIS SERVICE SRL,40000,8890,
2026-02-03,POSA SPA A SOCIO UNICO,40000,2795,
2026-02-03,OMIS SERVICE SRL,40000,1618,
2026-02-03,RABEN ITALY SRL,40000,12767,
2026-02-03,ONLY JOB SRL,40000,7225,
2026-02-03,ONLY JOB SRL,40000,16419,
2026-02-03,PRODUCTA SRL,40000,12006,
2026-02-03,RABEN ITALY SRL,40000,12746,
2026-02-03,POSA SPA A SOCIO UNICO,40000,11308,
2026-02-03,PLASTIKNOVA SRL,40000,9498,
2026-02-03,POSA SPA A SOCIO UNICO,40000,11184,
2026-02-03,OMIS SERVICE SRL,40000,12682,
2026-02-03,RABEN ITALY SRL,40000,13699,
2026-02-03,PRODUCTA SRL,40000,8122,
2026-02-03,RABEN ITALY SRL,40000,8509,
2026-02-03,OMIS SERVICE SRL,40000,14674,
2026-02-03,ONLY JOB SRL,40000,8715,
2026-02-03,PRODUCTA SRL,40000,2977,
2026-02-03,POSA SPA A SOCIO UNICO,40000,10622,
2026-02-03,OMIS SERVICE SRL,40000,1994,
2026-02-03,ONLY JOB SRL,40000,19653,
2026-02-03,OMIS SERVICE SRL,40000,7603,
2026-02-03,POSA SPA A SOCIO UNICO,40000,3473,
2026-02-03,PLASTIKNOVA SRL,40000,11727,
2026-02-03,PRODUCTA SRL,40000,14668,
2026-02-03,RABEN ITALY SRL,40000,7861,
2026-02-03,RABEN ITALY SRL,40000,19402,
2026-02-03,PRODUCTA SRL,40000,15958,
2026-02-03,POSA SPA A SOCIO UNICO,40000,6831,
2026-02-03,RABEN ITALY SRL,40000,10562,
2026-02-03,PLASTIKNOVA SRL,40000,13354,
2026-02-03,POSA SPA A SOCIO UNICO,40000,10567,
2026-02-03,PLASTIKNOVA SRL,40000,9865,
2026-02-03,PLASTIKNOVA SRL,40000,8700,
2026-02-03,ONLY JOB SRL,40000,5685,
2026-02-03,PRODUCTA SRL,40000,2479,
2026-02-03,PLASTIKNOVA SRL,40000,8650,
2026-02-03,OMIS SERVICE SRL,40000,15174,
2026-02-03,ONLY JOB SRL,40000,4968,
2026-02-03,ONLY JOB SRL,40000,13538,
2026-02-03,RABEN ITALY SRL,40000,17882,
2026-02-03,OMIS SERVICE SRL,40000,12336,
2026-02-03,POSA SPA A SOCIO UNICO,40000,10035,
2026-02-03,ONLY JOB SRL,40000,2958,
2026-02-03,RABEN ITALY SRL,40000,139,
2026-02-03,ONLY JOB SRL,40000,11694,
2026-02-03,POSA SPA A SOCIO UNICO,40000,13921,
2026-02-03,RABEN ITALY SRL,40000,13877,
2026-02-03,OMIS SERVICE SRL,40000,4564,
2026-02-03,PRODUCTA SRL,40000,465,
2026-02-03,ONLY JOB SRL,40000,7122,
2026-02-03,PRODUCTA SRL,40000,18551,
2026-02-03,PLASTIKNOVA SRL,40000,5589,
2026-02-03,POSA SPA A SOCIO UNICO,40000,16121,
2026-02-03,OMIS SERVICE SRL,40000,19104,
2026-02-03,OMIS SERVICE SRL,40000,17764,
2026-02-03,ONLY JOB SRL,40000,353,
2026-02-03,RABEN ITALY SRL,40000,6455,
2026-02-03,OMIS SERVICE SRL,40000,12118,
2026-02-03,PRODUCTA SRL,40000,11953,
2026-02-03,OMIS SERVICE SRL,40000,17345,
2026-02-03,PLASTIKNOVA SRL,40000,4503,
2026-02-03,PRODUCTA SRL,40000,14042,
2026-02-03,PRODUCTA SRL,40000,16951,
2026-02-03,ONLY JOB SRL,40000,131,
2026-02-03,PLASTIKNOVA SRL,40000,13157,
2026-02-03,OMIS SERVICE SRL,40000,18222,
2026-02-03,RABEN ITALY SRL,40000,15629,
2026-02-03,RABEN ITALY SRL,40000,2420,
2026-02-03,OMIS SERVICE SRL,40000,7998,
2026-02-03,POSA SPA A SOCIO UNICO,40000,12228,
2026-02-03,ONLY JOB SRL,40000,11638,
2026-02-03,PRODUCTA SRL,40000,7240,
2026-02-03,POSA SPA A SOCIO UNICO,40000,12198,
2026-02-03,OMIS SERVICE SRL,40000,1089,
2026-02-03,OMIS SERVICE SRL,40000,723,
2026-02-03,OMIS SERVICE SRL,40000,10575,
2026-02-03,RABEN ITALY SRL,40000,4617,
2026-02-03,PLASTIKNOVA SRL,40000,920,
2026-02-03,POSA SPA A SOCIO UNICO,40000,4991,
2026-02-03,PLASTIKNOVA SRL,40000,4169,
2026-02-03,OMIS SERVICE SRL,40000,1963,
2026-02-03,PLASTIKNOVA SRL,40000,9101,
2026-02-03,ONLY JOB SRL,40000,261,
2026-02-03,PRODUCTA SRL,40000,19087,
2026-02-03,RABEN ITALY SRL,40000,1086,
2026-02-03,PLASTIKNOVA SRL,40000,18486,
2026-02-03,PRODUCTA SRL,40000,13357,
2026-02-03,RABEN ITALY SRL,40000,5075,
2026-02-03,RABEN ITALY SRL,40000,13313,
2026-02-03,PLASTIKNOVA SRL,40000,4185,
2026-02-03,RABEN ITALY SRL,40000,7631,
2026-02-03,ONLY JOB SRL,40000,3168,
2026-02-03,OMIS SERVICE SRL,40000,6065,
2026-02-03,PLASTIKNOVA SRL,40000,16648,
2026-02-03,POSA SPA A SOCIO UNICO,40000,3691,
2026-02-03,ONLY JOB SRL,40000,7905,
2026-02-03,ONLY JOB SRL,40000,9157,
2026-02-03,PRODUCTA SRL,40000,1081,
2026-02-03,OMIS SERVICE SRL,40000,7317,
2026-02-03,RABEN ITALY SRL,40000,6348,
2026-02-03,PLASTIKNOVA SRL,40000,10581,
2026-02-03,ONLY JOB SRL,40000,1947,
2026-02-03,ONLY JOB SRL,40000,16972,
2026-02-03,OMIS SERVICE SRL,40000,15968,
2026-02-03,OMIS SERVICE SRL,40000,12867,
2026-02-03,POSA SPA A SOCIO UNICO,40000,11512,
2026-02-03,OMIS SERVICE SRL,40000,19518,
2026-02-03,PRODUCTA SRL,40000,16584,
2026-02-03,PRODUCTA SRL,40000,2263,
2026-02-03,PRODUCTA SRL,40000,869,
2026-02-03,OMIS SERVICE SRL,40000,16583,
2026-02-03,PLASTIKNOVA SRL,40000,2100,
2026-02-03,RABEN ITALY SRL,40000,5403,
2026-02-03,OMIS SERVICE SRL,40000,4965,
2026-02-03,RABEN ITALY SRL,40000,8622,
2026-02-03,OMIS SERVICE SRL,40000,14244,
2026-02-03,OMIS SERVICE SRL,40000,18509,
2026-02-03,RABEN ITALY SRL,40000,1863,
2026-02-03,ONLY JOB SRL,40000,9918,
2026-02-03,OMIS SERVICE SRL,40000,12052,
2026-02-03,POSA SPA A SOCIO UNICO,40000,9526,
2026-02-03,ONLY JOB SRL,40000,975,
2026-02-03,ONLY JOB SRL,40000,1534,
2026-02-03,RABEN ITALY SRL,40000,1120,
2026-02-03,OMIS SERVICE SRL,40000,15628,
2026-02-03,PLASTIKNOVA SRL,40000,15976,
2026-02-03,RABEN ITALY SRL,40000,6581,
2026-02-03,OMIS SERVICE SRL,40000,11805,
2026-02-03,ONLY JOB SRL,40000,14052,
2026-02-03,OMIS SERVICE SRL,40000,17168,
2026-02-03,ONLY JOB SRL,40000,15701,
2026-02-03,POSA SPA A SOCIO UNICO,40000,636,
2026-02-03,PLASTIKNOVA SRL,40000,6415,
2026-02-03,OMIS SERVICE SRL,40000,4709,
2026-02-03,OMIS SERVICE SRL,40000,14152,
2026-02-03,PLASTIKNOVA SRL,40000,4626,
2026-02-03,ONLY JOB SRL,40000,19925,
2026-02-03,PRODUCTA SRL,40000,15116,
2026-02-03,RABEN ITALY SRL,40000,6612,
2026-02-03,PLASTIKNOVA SRL,40000,17921,
2026-02-03,RABEN ITALY SRL,40000,2183,
2026-02-03,RABEN ITALY SRL,40000,565,
2026-02-03,RABEN ITALY SRL,40000,12650,
2026-02-03,PRODUCTA SRL,40000,5232,
2026-02-03,ONLY JOB SRL,40000,5477,
2026-02-03,OMIS SERVICE SRL,40000,18410,
2026-02-03,PLASTIKNOVA SRL,40000,6594,
2026-02-03,RABEN ITALY SRL,40000,10980,
2026-02-03,OMIS SERVICE SRL,40000,18112,
2026-02-03,POSA SPA A SOCIO UNICO,40000,1023,
2026-02-03,OMIS SERVICE SRL,40000,18064,
2026-02-03,OMIS SERVICE SRL,40000,13318,
2026-02-03,ONLY JOB SRL,40000,18568,
2026-02-03,PRODUCTA SRL,40000,18296,
2026-02-03,RABEN ITALY SRL,40000,8516,
2026-02-03,PRODUCTA SRL,40000,10210,
2026-02-03,OMIS SERVICE SRL,40000,9256,
2026-02-03,PRODUCTA SRL,40000,16986,
